Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/09  22:00:00,817.392596166,96.3525857472,296.089994493,0.0,100.150657288,124.558693486,453.228984367,393.356303829,42.4850247072,17.3876558307
 11/09  23:00:00,742.637703435,96.3525857472,287.879491047,0.0,46.0930336215,124.558693486,450.244039525,413.219704475,28.3233498048,8.70098524572
 11/09  24:00:00,742.535487898,96.3525857472,286.822385036,0.0,46.0930336215,124.558693486,443.874511054,421.011269171,14.1616749024,8.70156698006
 11/10  01:00:00,717.185426237,96.3525857472,275.814539446,0.0,46.0930336215,113.312780494,452.136977038,429.089730053,5.66466996096,17.3825770247
 11/10  02:00:00,708.930408428,96.3525857472,268.477916529,0.0,46.0930336215,113.312780494,452.253562631,437.888046264,5.66466996096,8.70084640634
 11/10  03:00:00,696.744216688,96.3525857472,257.422772026,0.0,46.0930336215,113.312780494,478.937210664,455.889066621,5.66466996096,17.3834740815
 11/10  04:00:00,688.518793651,96.3525857472,250.001771174,0.0,46.0930336215,113.312780494,484.55765588,470.192880319,5.66466996096,8.70010559957
 11/10  05:00:00,778.12940792,96.3525857472,249.034941775,0.0,100.150657288,148.969399434,475.818017116,452.770098198,5.66466996096,17.3832489575
 11/10  06:00:00,778.942006809,96.8981115793,248.730435577,0.0,100.150657288,149.894399434,687.102158337,664.238670119,14.1616749024,8.70181331537
 11/10  07:00:00,994.923961728,99.1806910904,248.24661558,0.0,176.471037341,302.612436532,519.511602202,473.806459191,28.3233498048,17.3817932055
 11/10  08:00:00,1172.27577079,101.306073462,299.428235791,0.0,243.2593065,310.10971186,469.440332786,409.427755057,42.4850247072,17.5275530213
 11/10  09:00:00,1280.06101962,102.318212071,358.001262221,0.0,243.2593065,310.10971186,454.057125803,371.011927611,56.6466996096,26.3984985822
 11/10  10:00:00,1349.41369927,103.116370015,396.721887106,0.0,243.2593065,302.612436532,420.715682498,351.744656945,42.4850247072,26.4860008454
 11/10  11:00:00,1378.13397495,103.80928578,413.38860461,0.0,243.2593065,310.10971186,434.654023646,328.349576916,70.808374512,35.4960722181
 11/10  12:00:00,1395.88785924,104.411545321,403.082640011,0.0,243.2593065,310.10971186,413.873757921,307.507408807,70.808374512,35.5579746018
 11/10  13:00:00,1352.75119416,105.069797002,385.793513018,0.0,243.2593065,310.10971186,400.682399249,294.488087207,70.808374512,35.3859375305
 11/10  14:00:00,1380.13892253,105.920646632,385.387837379,0.0,243.2593065,302.612436532,370.091509623,277.89665809,56.6466996096,35.5481519228
 11/10  15:00:00,1380.28195753,106.560156061,396.412865272,0.0,243.2593065,302.612436532,345.890317449,267.917439898,42.4850247072,35.4878528434
 11/10  16:00:00,1397.28241429,107.126963849,426.138904007,0.0,243.2593065,302.612436532,361.167500284,269.098257639,56.6466996096,35.4225430351
 11/10  17:00:00,1413.46725871,107.223164992,437.074917042,0.0,243.2593065,310.10971186,399.340870091,287.916279641,84.9700494144,26.4545410354
 11/10  18:00:00,1426.57561836,107.359614704,431.230798141,0.0,243.2593065,310.10971186,408.649018159,306.198451221,84.9700494144,17.4805175231
 11/10  19:00:00,1142.46932323,96.3525857472,425.910957234,0.0,166.938926447,199.110933808,423.468449974,321.073053763,84.9700494144,17.4253467967
 11/10  20:00:00,1134.91750046,96.3525857472,422.946378093,0.0,166.938926447,191.61365848,392.026653236,326.658591608,56.6466996096,8.72136201882
 11/10  21:00:00,1009.89954182,96.3525857472,420.16868712,0.0,100.150657288,124.558693486,438.118460195,364.045705087,56.6466996096,17.4260554987
 11/10  22:00:00,969.767848364,96.3525857472,418.606236659,0.0,100.150657288,124.558693486,430.558097992,370.688182004,42.4850247072,17.3848912809
 11/10  23:00:00,920.008688915,96.3525857472,416.737723404,0.0,46.0930336215,124.558693486,425.768634014,388.744075596,28.3233498048,8.70120861321
 11/10  24:00:00,917.195191374,96.3525857472,414.632150262,0.0,46.0930336215,124.558693486,418.695222852,395.16055463,14.1616749024,9.37299331988
 11/11  01:00:00,874.500290319,96.3525857472,413.663003184,0.0,34.9616554283,113.312780494,425.173945279,402.798137962,5.66466996096,16.7111373557
 11/11  02:00:00,852.714190357,96.3525857472,415.236994404,0.0,34.9616554283,113.312780494,422.716451693,408.350682374,5.66466996096,8.70109935873
